"species","lon","lat"
"piaya_mex","-99.44999637","16.79166641"
"piaya_mex","-102.2416632","18.12499982"
"piaya_mex","-99.15832969","18.87499986"
"piaya_mex","-97.07499624","16.16666638"
"piaya_mex","-99.03332968","18.08333315"
"piaya_mex","-99.07499635","18.87499986"
"piaya_mex","-102.1583299","18.41666651"
"piaya_mex","-103.5333299","19.24999989"
"piaya_mex","-105.2416634","21.58333335"
"piaya_mex","-101.7833298","18.99999987"
"piaya_mex","-104.3249966","19.83333325"
"piaya_mex","-99.49166304","17.70833313"
"piaya_mex","-105.3249967","20.33333328"
"piaya_mex","-100.1166631","17.41666645"
"piaya_mex","-99.15832969","17.41666645"
"piaya_mex","-106.6999968","24.2083335"
"piaya_mex","-103.9499966","18.91666653"
"piaya_mex","-108.6166635","27.00000032"
"piaya_mex","-105.53333","20.08333327"
"piaya_mex","-99.24166302","18.74999986"
"piaya_mex","-103.7833299","19.04166654"
"piaya_mex","-105.65833","22.37500006"
"piaya_mex","-104.4499966","19.70833324"
"piaya_mex","-105.15833","21.70833336"
"piaya_mex","-98.94999634","18.8333332"
"piaya_mex","-98.741663","16.83333308"
"piaya_mex","-104.8666633","20.74999997"
"piaya_mex","-101.5749965","17.62499979"
"piaya_mex","-97.69999627","15.9999997"
"piaya_mex","-106.4083301","23.91666681"
"piaya_mex","-102.4499965","18.99999987"
"piaya_mex","-103.8666633","19.08333321"
"piaya_mex","-106.7416634","24.83333353"
"piaya_mex","-99.15832969","18.62499985"
"piaya_mex","-98.28332964","16.33333306"
"piaya_mex","-105.9083301","23.41666679"
"piaya_mex","-102.1583299","17.95833315"
"piaya_mex","-106.3666634","23.37500012"
"piaya_mex","-107.5333302","25.37500023"
"piaya_mex","-97.28332958","16.24999972"
"piaya_mex","-99.49166304","17.04166643"
"piaya_mex","-108.9499969","27.00000032"
"piaya_mex","-99.61666304","18.54166651"
"piaya_mex","-103.6999966","18.70833319"
"piaya_mex","-105.53333","22.37500006"
"piaya_mex","-105.9083301","23.37500012"
"piaya_mex","-98.94999634","18.49999984"
"piaya_mex","-107.9499968","25.70833358"
"piaya_mex","-100.4083298","18.79166653"
"piaya_mex","-105.0749967","19.54166657"
"piaya_mex","-98.03332962","18.20833316"
"piaya_mex","-99.65832971","17.54166646"
"piaya_mex","-100.4499964","18.16666649"
"piaya_mex","-100.0749964","16.99999976"
"piaya_mex","-100.9499965","18.20833316"
"piaya_mex","-101.4499965","19.29166655"
"piaya_mex","-99.49166304","17.54166646"
"piaya_mex","-108.6999969","27.12500033"
"piaya_mex","-102.2833299","19.16666655"
"piaya_mex","-98.1999963","18.20833316"
"piaya_mex","-103.4499966","19.74999991"
"piaya_mex","-105.4499967","20.41666662"
"piaya_mex","-105.1166634","20.95833331"
"piaya_mex","-106.9499968","24.91666687"
"piaya_mex","-98.36666297","16.45833306"
"piaya_mex","-106.7833301","24.25000017"
"piaya_mex","-105.9499967","23.37500012"
"piaya_mex","-100.7416631","19.04166654"
"piaya_mex","-105.9499967","23.54166679"
"piaya_mex","-108.6999969","26.95833365"
"piaya_mex","-108.6166635","26.83333364"
"piaya_mex","-103.2416632","18.24999983"
"piaya_mex","-99.07499635","18.91666653"
"piaya_mex","-104.9916633","21.375"
"piaya_mex","-104.65833","19.41666656"
"piaya_mex","-103.4083299","18.2916665"
"piaya_mex","-102.9083299","18.16666649"
"piaya_mex","-104.28333","19.58333324"
"piaya_mex","-98.44999631","18.66666652"
"piaya_mex","-99.28332969","18.54166651"
"piaya_mex","-99.44999637","17.41666645"
"piaya_mex","-102.3666632","18.74999986"
"piaya_mex","-99.15832969","18.91666653"
"piaya_mex","-106.1999967","23.54166679"
"piaya_mex","-103.3666633","18.2916665"
"piaya_mex","-105.1999967","21.79166669"
"piaya_mex","-96.49166287","15.70833302"
"piaya_mex","-103.9499966","19.16666655"
"piaya_mex","-96.4499962","15.91666637"
"piaya_mex","-94.61666276","16.45833306"
"piaya_mex","-100.0333297","19.12499988"
"piaya_mex","-99.53332971","17.91666648"
"piaya_mex","-105.9499967","22.87500009"
"piaya_mex","-99.44999637","17.33333311"
"piaya_mex","-104.8249967","20.74999997"
"piaya_mex","-105.6999967","23.20833344"
"piaya_mex","-103.6166633","19.33333322"
"piaya_mex","-108.3666635","27.00000032"
"piaya_mex","-103.9499966","19.37499989"
"piaya_mex","-99.24166302","18.91666653"
"piaya_mex","-105.9916634","23.54166679"
"piaya_mex","-99.44999637","18.58333318"
"piaya_mex","-108.6583302","26.0833336"
"piaya_mex","-96.4499962","15.83333303"
"piaya_mex","-103.6166633","19.24999989"
"piaya_mex","-106.6583301","25.04166688"
"piaya_mex","-105.1166634","21.54166668"
"piaya_mex","-99.32499636","17.58333313"
"piaya_mex","-107.1583301","24.83333353"
"piaya_mex","-106.0749967","23.20833344"
"piaya_mex","-105.7833301","22.83333342"
"piaya_mex","-99.53332971","17.24999977"
"piaya_mex","-104.6999967","21.25"
"piaya_mex","-106.2416634","23.91666681"
"piaya_mex","-105.9916634","23.37500012"
"piaya_mex","-100.9499965","18.45833317"
"piaya_mex","-99.49166304","18.66666652"
"piaya_mex","-103.4916633","18.49999984"
"piaya_mex","-103.6166633","19.54166657"
"piaya_mex","-98.866663","18.54166651"
"piaya_mex","-102.1999965","19.12499988"
"piaya_mex","-99.24166302","18.79166653"
"piaya_mex","-103.3666633","18.33333317"
"piaya_mex","-105.2416634","19.91666659"
"piaya_mex","-102.0749965","17.99999982"
"piaya_mex","-100.7416631","18.37499984"
"piaya_mex","-99.49166304","17.37499978"
"piaya_mex","-101.9083298","18.9583332"
"piaya_mex","-101.4499965","17.62499979"
"piaya_mex","-105.3666634","22.37500006"
"piaya_mex","-99.03332968","18.99999987"
"piaya_mex","-99.28332969","18.8333332"
"piaya_mex","-99.36666303","18.66666652"
"piaya_mex","-99.4083297","18.70833319"
"piaya_mex","-99.11666302","18.9583332"
"piaya_mex","-105.8666634","23.0000001"
"piaya_mex","-106.4499968","23.54166679"
"piaya_mex","-99.53332971","18.08333315"
"piaya_mex","-103.7416633","19.24999989"
"piaya_mex","-99.19999635","18.91666653"
